question|context|answer|sql_generado
Which players are from Indonesia?|CREATE TABLE country (Country_id VARCHAR, Country_name VARCHAR); CREATE TABLE match_season (Player VARCHAR, Country VARCHAR)|"SELECT T2.Player FROM country AS T1 JOIN match_season AS T2 ON T1.Country_id = T2.Country WHERE T1.Country_name = ""Indonesia"""|SELECT Player FROM match_season WHERE Country = 'Indonesia';
What are the distinct positions of the players from a country whose capital is Dublin?|CREATE TABLE country (Country_id VARCHAR, Capital VARCHAR); CREATE TABLE match_season (Position VARCHAR, Country VARCHAR)|"SELECT DISTINCT T2.Position FROM country AS T1 JOIN match_season AS T2 ON T1.Country_id = T2.Country WHERE T1.Capital = ""Dublin"""|SELECT DISTINCT T1.Position FROM match_season AS T1 JOIN country AS T2 ON T1.Country = T2.Country_id WHERE T2.Capital = 'Dublin'
What are the official languages of the countries of players from Maryland or Duke college?|CREATE TABLE country (Official_native_language VARCHAR, Country_id VARCHAR); CREATE TABLE match_season (Country VARCHAR, College VARCHAR)|"SELECT T1.Official_native_language FROM country AS T1 JOIN match_season AS T2 ON T1.Country_id = T2.Country WHERE T2.College = ""Maryland"" OR T2.College = ""Duke"""|SELECT DISTINCT T1.Official_native_language FROM country AS T1 JOIN match_season AS T2 ON T1.Country_id = T2.Country WHERE T2.College = 'Maryland' OR T2.College = 'Duke'
How many distinct official languages are there among countries of players whose positions are defenders.|CREATE TABLE country (Official_native_language VARCHAR, Country_id VARCHAR); CREATE TABLE match_season (Country VARCHAR, Position VARCHAR)|"SELECT COUNT(DISTINCT T1.Official_native_language) FROM country AS T1 JOIN match_season AS T2 ON T1.Country_id = T2.Country WHERE T2.Position = ""Defender"""|SELECT count(DISTINCT T1.Official_native_language) FROM country AS T1 JOIN match_season AS T2 ON T1.Country_id  =  T2.Country WHERE T2.Position  =  'defender'
Show the season, the player, and the name of the team that players belong to.|CREATE TABLE team (Name VARCHAR, Team_id VARCHAR); CREATE TABLE match_season (Season VARCHAR, Player VARCHAR, Team VARCHAR)|SELECT T1.Season, T1.Player, T2.Name FROM match_season AS T1 JOIN team AS T2 ON T1.Team = T2.Team_id|SELECT T1.Season, T1.Player, T2.Name FROM match_season AS T1 JOIN team AS T2 ON T1.Team = T2.Team_id
"Show the positions of the players from the team with name ""Ryley Goldner""."|CREATE TABLE match_season (Position VARCHAR, Team VARCHAR); CREATE TABLE team (Team_id VARCHAR, Name VARCHAR)|"SELECT T1.Position FROM match_season AS T1 JOIN team AS T2 ON T1.Team = T2.Team_id WHERE T2.Name = ""Ryley Goldner"""|SELECT T1.Position FROM match_season AS T1 JOIN team AS T2 ON T1.Team = T2.Team_id WHERE T2.Name = 'Ryley Goldner'
"How many distinct colleges are associated with players from the team with name ""Columbus Crew""."|CREATE TABLE match_season (College VARCHAR, Team VARCHAR); CREATE TABLE team (Team_id VARCHAR, Name VARCHAR)|"SELECT COUNT(DISTINCT T1.College) FROM match_season AS T1 JOIN team AS T2 ON T1.Team = T2.Team_id WHERE T2.Name = ""Columbus Crew"""|"SELECT count(DISTINCT College) FROM match_season WHERE Team = (SELECT Team_id FROM team WHERE Name = ""Columbus Crew"")"
"Show the players and years played for players from team ""Columbus Crew""."|CREATE TABLE player (Player VARCHAR, Years_Played VARCHAR, Team VARCHAR); CREATE TABLE team (Team_id VARCHAR, Name VARCHAR)|"SELECT T1.Player, T1.Years_Played FROM player AS T1 JOIN team AS T2 ON T1.Team = T2.Team_id WHERE T2.Name = ""Columbus Crew"""|SELECT p.Player, p.Years_Played FROM player p JOIN team t ON p.Team = t.Team_id WHERE t.Name = 'Columbus Crew';
Show the position of players and the corresponding number of players.|CREATE TABLE match_season (POSITION VARCHAR)|SELECT POSITION, COUNT(*) FROM match_season GROUP BY POSITION|SELECT POSITION, COUNT(*) AS NumberOfPlayers FROM match_season GROUP BY POSITION
Show the country names and the corresponding number of players.|CREATE TABLE match_season (Country VARCHAR); CREATE TABLE country (Country_name VARCHAR, Country_id VARCHAR)|SELECT Country_name, COUNT(*) FROM country AS T1 JOIN match_season AS T2 ON T1.Country_id = T2.Country GROUP BY T1.Country_name|SELECT T1.Country_name, count(*) FROM country AS T1 JOIN match_season AS T2 ON T1.Country_name = T2.Country GROUP BY T1.Country_name
Return all players sorted by college in ascending alphabetical order.|CREATE TABLE match_season (player VARCHAR, College VARCHAR)|SELECT player FROM match_season ORDER BY College|SELECT player FROM match_season ORDER BY College ASC
Show the most common position of players in match seasons.|CREATE TABLE match_season (POSITION VARCHAR)|SELECT POSITION FROM match_season GROUP BY POSITION ORDER BY COUNT(*) DESC LIMIT 1|SELECT POSITION FROM match_season GROUP BY POSITION ORDER BY COUNT(*) DESC LIMIT 1
Show the top 3 most common colleges of players in match seasons.|CREATE TABLE match_season (College VARCHAR)|SELECT College FROM match_season GROUP BY College ORDER BY COUNT(*) DESC LIMIT 3|SELECT College FROM match_season GROUP BY College ORDER BY COUNT(*) DESC LIMIT 3
Show the name of colleges that have at least two players.|CREATE TABLE match_season (College VARCHAR)|SELECT College FROM match_season GROUP BY College HAVING COUNT(*) >= 2|SELECT College FROM match_season GROUP BY College HAVING count(*)  >=  2
Show the name of colleges that have at least two players in descending alphabetical order.|CREATE TABLE match_season (College VARCHAR)|SELECT College FROM match_season GROUP BY College HAVING COUNT(*) >= 2 ORDER BY College DESC|SELECT College FROM match_season GROUP BY College HAVING COUNT(*) >= 2 ORDER BY College DESC
What are the names of teams that do no have match season record?|CREATE TABLE match_season (Name VARCHAR, Team_id VARCHAR, Team VARCHAR); CREATE TABLE team (Name VARCHAR, Team_id VARCHAR, Team VARCHAR)|SELECT Name FROM team WHERE NOT Team_id IN (SELECT Team FROM match_season)|SELECT Name FROM team WHERE Team_id NOT IN (SELECT Team_id FROM match_season);
What are the names of countries that have both players with position forward and players with position defender?|CREATE TABLE country (Country_name VARCHAR, Country_id VARCHAR); CREATE TABLE match_season (Country VARCHAR, Position VARCHAR)|"SELECT T1.Country_name FROM country AS T1 JOIN match_season AS T2 ON T1.Country_id = T2.Country WHERE T2.Position = ""Forward"" INTERSECT SELECT T1.Country_name FROM country AS T1 JOIN match_season AS T2 ON T1.Country_id = T2.Country WHERE T2.Position = ""Defender"""|SELECT DISTINCT T1.Country_name FROM country AS T1 JOIN match_season AS T2 ON T1.Country_name  =  T2.Country WHERE T2.Position  =  'forward' INTERSECT SELECT DISTINCT T1.Country_name FROM country AS T1 JOIN match_season AS T2 ON T1.Country_name  =  T2.Country WHERE T2.Position  =  'defender'
Which college have both players with position midfielder and players with position defender?|CREATE TABLE match_season (College VARCHAR, POSITION VARCHAR)|"SELECT College FROM match_season WHERE POSITION = ""Midfielder"" INTERSECT SELECT College FROM match_season WHERE POSITION = ""Defender"""|SELECT College FROM match_season WHERE POSITION = 'midfielder' INTERSECT SELECT College FROM match_season WHERE POSITION = 'defender'
How many climbers are there?|CREATE TABLE climber (Id VARCHAR)|SELECT COUNT(*) FROM climber|SELECT count(*) FROM climber
List the names of climbers in descending order of points.|CREATE TABLE climber (Name VARCHAR, Points VARCHAR)|SELECT Name FROM climber ORDER BY Points DESC|SELECT Name FROM climber ORDER BY Points DESC
List the names of climbers whose country is not Switzerland.|CREATE TABLE climber (Name VARCHAR, Country VARCHAR)|"SELECT Name FROM climber WHERE Country <> ""Switzerland"""|SELECT Name FROM climber WHERE Country <> 'Switzerland'
What is the maximum point for climbers whose country is United Kingdom?|CREATE TABLE climber (Points INTEGER, Country VARCHAR)|"SELECT MAX(Points) FROM climber WHERE Country = ""United Kingdom"""|SELECT max(Points) FROM climber WHERE Country = 'United Kingdom'
How many distinct countries are the climbers from?|CREATE TABLE climber (Country VARCHAR)|SELECT COUNT(DISTINCT Country) FROM climber|SELECT count(DISTINCT Country) FROM climber
What are the names of mountains in ascending alphabetical order?|CREATE TABLE mountain (Name VARCHAR)|SELECT Name FROM mountain ORDER BY Name|SELECT Name FROM mountain ORDER BY Name ASC
What are the countries of mountains with height bigger than 5000?|CREATE TABLE mountain (Country VARCHAR, Height INTEGER)|SELECT Country FROM mountain WHERE Height > 5000|SELECT Country FROM mountain WHERE Height > 5000
What is the name of the highest mountain?|CREATE TABLE mountain (Name VARCHAR, Height VARCHAR)|SELECT Name FROM mountain ORDER BY Height DESC LIMIT 1|SELECT Name FROM mountain ORDER BY Height DESC LIMIT 1
List the distinct ranges of the mountains with the top 3 prominence.|CREATE TABLE mountain (Range VARCHAR, Prominence VARCHAR)|SELECT DISTINCT Range FROM mountain ORDER BY Prominence DESC LIMIT 3|SELECT DISTINCT Range FROM mountain ORDER BY Prominence DESC LIMIT 3
Show names of climbers and the names of mountains they climb.|CREATE TABLE mountain (Name VARCHAR, Mountain_ID VARCHAR); CREATE TABLE climber (Name VARCHAR, Mountain_ID VARCHAR)|SELECT T1.Name, T2.Name FROM climber AS T1 JOIN mountain AS T2 ON T1.Mountain_ID = T2.Mountain_ID|SELECT T1.Name, T2.Name FROM climber AS T1 JOIN mountain AS T2 ON T1.Mountain_ID  =  T2.Mountain_ID
Show the names of climbers and the heights of mountains they climb.|CREATE TABLE mountain (Height VARCHAR, Mountain_ID VARCHAR); CREATE TABLE climber (Name VARCHAR, Mountain_ID VARCHAR)|SELECT T1.Name, T2.Height FROM climber AS T1 JOIN mountain AS T2 ON T1.Mountain_ID = T2.Mountain_ID|SELECT T1.Name, T2.Height FROM climber AS T1 JOIN mountain AS T2 ON T1.Mountain_ID = T2.Mountain_ID
Show the height of the mountain climbed by the climber with the maximum points.|CREATE TABLE climber (Mountain_ID VARCHAR, Points VARCHAR); CREATE TABLE mountain (Height VARCHAR, Mountain_ID VARCHAR)|SELECT T2.Height FROM climber AS T1 JOIN mountain AS T2 ON T1.Mountain_ID = T2.Mountain_ID ORDER BY T1.Points DESC LIMIT 1|SELECT T1.Height FROM mountain AS T1 JOIN climber AS T2 ON T1.Mountain_ID = T2.Mountain_ID ORDER BY T2.Points DESC LIMIT 1
"Show the distinct names of mountains climbed by climbers from country ""West Germany""."|CREATE TABLE mountain (Name VARCHAR, Mountain_ID VARCHAR); CREATE TABLE climber (Mountain_ID VARCHAR, Country VARCHAR)|"SELECT DISTINCT T2.Name FROM climber AS T1 JOIN mountain AS T2 ON T1.Mountain_ID = T2.Mountain_ID WHERE T1.Country = ""West Germany"""|SELECT DISTINCT m.Name FROM mountain AS m JOIN climber AS c ON m.Mountain_ID = c.Mountain_ID WHERE c.Country = 'West Germany'
Show the times used by climbers to climb mountains in Country Uganda.|CREATE TABLE mountain (Mountain_ID VARCHAR, Country VARCHAR); CREATE TABLE climber (Time VARCHAR, Mountain_ID VARCHAR)|"SELECT T1.Time FROM climber AS T1 JOIN mountain AS T2 ON T1.Mountain_ID = T2.Mountain_ID WHERE T2.Country = ""Uganda"""|SELECT T1.Time FROM climber AS T1 JOIN mountain AS T2 ON T1.Mountain_ID = T2.Mountain_ID WHERE T2.Country = 'Uganda'
Please show the countries and the number of climbers from each country.|CREATE TABLE climber (Country VARCHAR)|SELECT Country, COUNT(*) FROM climber GROUP BY Country|SELECT Country, COUNT(*) AS NumberOfClimbers FROM climber GROUP BY Country;
List the countries that have more than one mountain.|CREATE TABLE mountain (Country VARCHAR)|SELECT Country FROM mountain GROUP BY Country HAVING COUNT(*) > 1|SELECT Country FROM mountain GROUP BY Country HAVING count(*) > 1
List the names of mountains that do not have any climber.|CREATE TABLE mountain (Name VARCHAR, Mountain_ID VARCHAR); CREATE TABLE climber (Name VARCHAR, Mountain_ID VARCHAR)|SELECT Name FROM mountain WHERE NOT Mountain_ID IN (SELECT Mountain_ID FROM climber)|SELECT Name FROM mountain EXCEPT SELECT T1.Name FROM mountain AS T1 JOIN climber AS T2 ON T1.Mountain_ID = T2.Mountain_ID
Show the countries that have mountains with height more than 5600 stories and mountains with height less than 5200.|CREATE TABLE mountain (Country VARCHAR, Height INTEGER)|SELECT Country FROM mountain WHERE Height > 5600 INTERSECT SELECT Country FROM mountain WHERE Height < 5200|SELECT DISTINCT Country FROM mountain WHERE Height > 5600 INTERSECT SELECT DISTINCT Country FROM mountain WHERE Height < 5200
Show the range that has the most number of mountains.|CREATE TABLE mountain (Range VARCHAR)|SELECT Range FROM mountain GROUP BY Range ORDER BY COUNT(*) DESC LIMIT 1|SELECT Range FROM mountain GROUP BY Range ORDER BY count(*) DESC LIMIT 1
Show the names of mountains with height more than 5000 or prominence more than 1000.|CREATE TABLE mountain (Name VARCHAR, Height VARCHAR, Prominence VARCHAR)|SELECT Name FROM mountain WHERE Height > 5000 OR Prominence > 1000|SELECT Name FROM mountain WHERE Height > '5000' OR Prominence > '1000';
How many body builders are there?|CREATE TABLE body_builder (Id VARCHAR)|SELECT COUNT(*) FROM body_builder|SELECT count(*) FROM body_builder
List the total scores of body builders in ascending order.|CREATE TABLE body_builder (Total VARCHAR)|SELECT Total FROM body_builder ORDER BY Total|SELECT Total FROM body_builder ORDER BY Total ASC
List the snatch score and clean jerk score of body builders in ascending order of snatch score.|CREATE TABLE body_builder (Snatch VARCHAR, Clean_Jerk VARCHAR)|SELECT Snatch, Clean_Jerk FROM body_builder ORDER BY Snatch|SELECT Snatch, Clean_Jerk FROM body_builder ORDER BY Snatch ASC
What is the average snatch score of body builders?|CREATE TABLE body_builder (Snatch INTEGER)|SELECT AVG(Snatch) FROM body_builder|SELECT avg(Snatch) FROM body_builder
What are the clean and jerk score of the body builder with the highest total score?|CREATE TABLE body_builder (Clean_Jerk VARCHAR, Total VARCHAR)|SELECT Clean_Jerk FROM body_builder ORDER BY Total DESC LIMIT 1|SELECT Clean_Jerk FROM body_builder ORDER BY Total DESC LIMIT 1
What are the birthdays of people in ascending order of height?|CREATE TABLE People (Birth_Date VARCHAR, Height VARCHAR)|SELECT Birth_Date FROM People ORDER BY Height|SELECT Birth_Date FROM People ORDER BY Height ASC
What are the names of body builders?|CREATE TABLE body_builder (People_ID VARCHAR); CREATE TABLE people (Name VARCHAR, People_ID VARCHAR)|SELECT T2.Name FROM body_builder AS T1 JOIN people AS T2 ON T1.People_ID = T2.People_ID|SELECT T1.Name FROM people AS T1 JOIN body_builder AS T2 ON T1.People_ID = T2.People_ID
What are the names of body builders whose total score is higher than 300?|CREATE TABLE people (Name VARCHAR, People_ID VARCHAR); CREATE TABLE body_builder (People_ID VARCHAR, Total INTEGER)|SELECT T2.Name FROM body_builder AS T1 JOIN people AS T2 ON T1.People_ID = T2.People_ID WHERE T1.Total > 300|SELECT T1.Name FROM people AS T1 JOIN body_builder AS T2 ON T1.People_ID  =  T2.People_ID WHERE T2.Total  >  300
What is the name of the body builder with the greatest body weight?|CREATE TABLE body_builder (People_ID VARCHAR); CREATE TABLE people (Name VARCHAR, People_ID VARCHAR, Weight VARCHAR)|SELECT T2.Name FROM body_builder AS T1 JOIN people AS T2 ON T1.People_ID = T2.People_ID ORDER BY T2.Weight DESC LIMIT 1|SELECT T1.Name FROM people AS T1 JOIN body_builder AS T2 ON T1.People_ID = T2.People_ID ORDER BY T1.Weight DESC LIMIT 1
What are the birth date and birth place of the body builder with the highest total points?|CREATE TABLE body_builder (People_ID VARCHAR, Total VARCHAR); CREATE TABLE people (Birth_Date VARCHAR, Birth_Place VARCHAR, People_ID VARCHAR)|SELECT T2.Birth_Date, T2.Birth_Place FROM body_builder AS T1 JOIN people AS T2 ON T1.People_ID = T2.People_ID ORDER BY T1.Total DESC LIMIT 1|SELECT T2.Birth_Date, T2.Birth_Place FROM body_builder AS T1 JOIN people AS T2 ON T1.People_ID = T2.People_ID ORDER BY T1.Total DESC LIMIT 1
What are the heights of body builders with total score smaller than 315?|CREATE TABLE people (Height VARCHAR, People_ID VARCHAR); CREATE TABLE body_builder (People_ID VARCHAR, Total INTEGER)|SELECT T2.Height FROM body_builder AS T1 JOIN people AS T2 ON T1.People_ID = T2.People_ID WHERE T1.Total < 315|SELECT T1.Height FROM people AS T1 JOIN body_builder AS T2 ON T1.People_ID = T2.People_ID WHERE T2.Total < 315
What is the average total score of body builders with height bigger than 200?|CREATE TABLE people (People_ID VARCHAR, Height INTEGER); CREATE TABLE body_builder (Total INTEGER, People_ID VARCHAR)|SELECT AVG(T1.Total) FROM body_builder AS T1 JOIN people AS T2 ON T1.People_ID = T2.People_ID WHERE T2.Height > 200|SELECT avg(T1.Total) FROM body_builder AS T1 JOIN people AS T2 ON T1.People_ID  =  T2.People_ID WHERE T2.Height  >  200
What are the names of body builders in descending order of total scores?|CREATE TABLE body_builder (People_ID VARCHAR, Total VARCHAR); CREATE TABLE people (Name VARCHAR, People_ID VARCHAR)|SELECT T2.Name FROM body_builder AS T1 JOIN people AS T2 ON T1.People_ID = T2.People_ID ORDER BY T1.Total DESC|SELECT t1.Name FROM people AS t1 JOIN body_builder AS t2 ON t1.People_ID  =  t2.People_ID ORDER BY t2.Total DESC
List each birth place along with the number of people from there.|CREATE TABLE people (Birth_Place VARCHAR)|SELECT Birth_Place, COUNT(*) FROM people GROUP BY Birth_Place|SELECT Birth_Place, COUNT(*) AS NumberOfPeople FROM people GROUP BY Birth_Place
What is the most common birth place of people?|CREATE TABLE people (Birth_Place VARCHAR)|SELECT Birth_Place FROM people GROUP BY Birth_Place ORDER BY COUNT(*) DESC LIMIT 1|SELECT Birth_Place FROM people GROUP BY Birth_Place ORDER BY COUNT(*) DESC LIMIT 1
What are the birth places that are shared by at least two people?|CREATE TABLE people (Birth_Place VARCHAR)|SELECT Birth_Place FROM people GROUP BY Birth_Place HAVING COUNT(*) >= 2|SELECT Birth_Place FROM people GROUP BY Birth_Place HAVING COUNT(*) >= 2
List the height and weight of people in descending order of height.|CREATE TABLE people (Height VARCHAR, Weight VARCHAR)|SELECT Height, Weight FROM people ORDER BY Height DESC|SELECT Height, Weight FROM people ORDER BY Height DESC
Show all information about each body builder.|CREATE TABLE body_builder (Id VARCHAR)|SELECT * FROM body_builder|SELECT * FROM body_builder
List the names and origins of people who are not body builders.|CREATE TABLE people (Name VARCHAR, birth_place VARCHAR, people_id VARCHAR); CREATE TABLE body_builder (people_id VARCHAR); CREATE TABLE people (Name VARCHAR, birth_place VARCHAR)|SELECT Name, birth_place FROM people EXCEPT SELECT T1.Name, T1.birth_place FROM people AS T1 JOIN body_builder AS T2 ON T1.people_id = T2.people_id|SELECT Name, birth_place FROM people EXCEPT SELECT T1.Name, T1.birth_place FROM people AS T1 JOIN body_builder AS T2 ON T1.people_id = T2.people_id
How many distinct birth places are there?|CREATE TABLE people (Birth_Place VARCHAR)|SELECT COUNT(DISTINCT Birth_Place) FROM people|SELECT count(DISTINCT Birth_Place) FROM people
How many persons are not body builders?|CREATE TABLE body_builder (people_id VARCHAR, People_ID VARCHAR); CREATE TABLE people (people_id VARCHAR, People_ID VARCHAR)|SELECT COUNT(*) FROM people WHERE NOT people_id IN (SELECT People_ID FROM body_builder)|SELECT count(*) FROM people WHERE People_ID NOT IN (SELECT People_ID FROM body_builder)
List the weight of the body builders who have snatch score higher than 140 or have the height greater than 200.|CREATE TABLE people (weight VARCHAR, people_id VARCHAR, height VARCHAR); CREATE TABLE body_builder (people_id VARCHAR, snatch VARCHAR)|SELECT T2.weight FROM body_builder AS T1 JOIN people AS T2 ON T1.people_id = T2.people_id WHERE T1.snatch > 140 OR T2.height > 200|SELECT T1.weight FROM people AS T1 JOIN body_builder AS T2 ON T1.people_id  =  T2.people_id WHERE T2.snatch  >  140 OR T1.height  >  200
"What are the total scores of the body builders whose birthday contains the string ""January"" ?"|CREATE TABLE people (people_id VARCHAR, Birth_Date VARCHAR); CREATE TABLE body_builder (total VARCHAR, people_id VARCHAR)|"SELECT T1.total FROM body_builder AS T1 JOIN people AS T2 ON T1.people_id = T2.people_id WHERE T2.Birth_Date LIKE ""%January%"""|SELECT T1.total FROM body_builder AS T1 JOIN people AS T2 ON T1.people_id = T2.people_id WHERE T2.Birth_Date LIKE '%January%';
What is the minimum snatch score?|CREATE TABLE body_builder (snatch INTEGER)|SELECT MIN(snatch) FROM body_builder|SELECT min(snatch) FROM body_builder
How many elections are there?|CREATE TABLE election (Id VARCHAR)|SELECT COUNT(*) FROM election|SELECT count(*) FROM election
List the votes of elections in descending order.|CREATE TABLE election (Votes VARCHAR)|SELECT Votes FROM election ORDER BY Votes DESC|SELECT Votes FROM election ORDER BY Votes DESC;
List the dates and vote percents of elections.|CREATE TABLE election (Date VARCHAR, Vote_Percent VARCHAR)|SELECT Date, Vote_Percent FROM election|SELECT Date, Vote_Percent FROM election
What are the minimum and maximum vote percents of elections?|CREATE TABLE election (Vote_Percent INTEGER)|SELECT MIN(Vote_Percent), MAX(Vote_Percent) FROM election|SELECT min(Vote_Percent), max(Vote_Percent) FROM election
What are the names and parties of representatives?|CREATE TABLE representative (Name VARCHAR, Party VARCHAR)|SELECT Name, Party FROM representative|SELECT Name, Party FROM representative
"What are the names of representatives whose party is not ""Republican""?"|CREATE TABLE Representative (Name VARCHAR, Party VARCHAR)|"SELECT Name FROM Representative WHERE Party <> ""Republican"""|SELECT Name FROM Representative WHERE Party <> 'Republican';
What are the life spans of representatives from New York state or Indiana state?|CREATE TABLE representative (Lifespan VARCHAR, State VARCHAR)|"SELECT Lifespan FROM representative WHERE State = ""New York"" OR State = ""Indiana"""|SELECT Lifespan FROM representative WHERE State IN ('New York', 'Indiana')
What are the names of representatives and the dates of elections they participated in.|CREATE TABLE election (Date VARCHAR, Representative_ID VARCHAR); CREATE TABLE representative (Name VARCHAR, Representative_ID VARCHAR)|SELECT T2.Name, T1.Date FROM election AS T1 JOIN representative AS T2 ON T1.Representative_ID = T2.Representative_ID|SELECT r.Name, e.Date FROM representative r JOIN election e ON r.Representative_ID = e.Representative_ID
What are the names of representatives with more than 10000 votes in election?|CREATE TABLE representative (Name VARCHAR, Representative_ID VARCHAR); CREATE TABLE election (Representative_ID VARCHAR)|SELECT T2.Name FROM election AS T1 JOIN representative AS T2 ON T1.Representative_ID = T2.Representative_ID WHERE Votes > 10000|SELECT T1.Name FROM representative AS T1 JOIN election AS T2 ON T1.Representative_ID  =  T2.Representative_ID WHERE T2.votes  >  10000
What are the names of representatives in descending order of votes?|CREATE TABLE representative (Name VARCHAR, Representative_ID VARCHAR); CREATE TABLE election (Representative_ID VARCHAR)|SELECT T2.Name FROM election AS T1 JOIN representative AS T2 ON T1.Representative_ID = T2.Representative_ID ORDER BY votes DESC|SELECT T1.Name FROM representative AS T1 JOIN election AS T2 ON T1.Representative_ID  =  T2.Representative_ID GROUP BY T1.Name ORDER BY count(*) DESC
What is the party of the representative that has the smallest number of votes.|CREATE TABLE representative (Party VARCHAR, Representative_ID VARCHAR); CREATE TABLE election (Representative_ID VARCHAR)|SELECT T2.Party FROM election AS T1 JOIN representative AS T2 ON T1.Representative_ID = T2.Representative_ID ORDER BY votes LIMIT 1|SELECT Party FROM representative WHERE Representative_ID IN (SELECT Representative_ID FROM election LIMIT 1)
What are the lifespans of representatives in descending order of vote percent?|CREATE TABLE election (Representative_ID VARCHAR); CREATE TABLE representative (Lifespan VARCHAR, Representative_ID VARCHAR)|SELECT T2.Lifespan FROM election AS T1 JOIN representative AS T2 ON T1.Representative_ID = T2.Representative_ID ORDER BY Vote_Percent DESC|SELECT T1.Lifespan FROM representative AS T1 INNER JOIN election AS T2 ON T1.Representative_ID = T2.Representative_ID ORDER BY T2.Representative_ID DESC
"What is the average number of votes of representatives from party ""Republican""?"|CREATE TABLE election (Votes INTEGER, Representative_ID VARCHAR); CREATE TABLE representative (Representative_ID VARCHAR, Party VARCHAR)|"SELECT AVG(T1.Votes) FROM election AS T1 JOIN representative AS T2 ON T1.Representative_ID = T2.Representative_ID WHERE T2.Party = ""Republican"""|SELECT avg(T1.Votes) FROM election AS T1 INNER JOIN representative AS T2 ON T1.Representative_ID  =  T2.Representative_ID WHERE T2.Party  =  'Republican'
What are the different parties of representative? Show the party name and the number of representatives in each party.|CREATE TABLE representative (Party VARCHAR)|SELECT Party, COUNT(*) FROM representative GROUP BY Party|SELECT Party, COUNT(*) AS NumberOfRepresentatives FROM representative GROUP BY Party
What is the party that has the largest number of representatives?|CREATE TABLE representative (Party VARCHAR)|SELECT Party, COUNT(*) FROM representative GROUP BY Party ORDER BY COUNT(*) DESC LIMIT 1|SELECT Party FROM representative GROUP BY Party ORDER BY COUNT(*) DESC LIMIT 1
What parties have at least three representatives?|CREATE TABLE representative (Party VARCHAR)|SELECT Party FROM representative GROUP BY Party HAVING COUNT(*) >= 3|SELECT Party FROM representative GROUP BY Party HAVING COUNT(*) >= 3
What states have at least two representatives?|CREATE TABLE representative (State VARCHAR)|SELECT State FROM representative GROUP BY State HAVING COUNT(*) >= 2|SELECT State FROM representative GROUP BY State HAVING COUNT(*) >= 2
List the names of representatives that have not participated in elections listed here.|CREATE TABLE election (Name VARCHAR, Representative_ID VARCHAR); CREATE TABLE representative (Name VARCHAR, Representative_ID VARCHAR)|SELECT Name FROM representative WHERE NOT Representative_ID IN (SELECT Representative_ID FROM election)|SELECT Name FROM representative EXCEPT SELECT T1.Name FROM representative AS T1 JOIN election AS T2 ON T1.Representative_ID  =  T2.Representative_ID
Show the parties that have both representatives in New York state and representatives in Pennsylvania state.|CREATE TABLE representative (Party VARCHAR, State VARCHAR)|"SELECT Party FROM representative WHERE State = ""New York"" INTERSECT SELECT Party FROM representative WHERE State = ""Pennsylvania"""|SELECT Party FROM representative WHERE State = 'New York' INTERSECT SELECT Party FROM representative WHERE State = 'Pennsylvania';
How many distinct parties are there for representatives?|CREATE TABLE representative (Party VARCHAR)|SELECT COUNT(DISTINCT Party) FROM representative|SELECT count(DISTINCT Party) FROM representative
How many apartment bookings are there in total?|CREATE TABLE Apartment_Bookings (Id VARCHAR)|SELECT COUNT(*) FROM Apartment_Bookings|SELECT count(*) FROM Apartment_Bookings
Show the start dates and end dates of all the apartment bookings.|CREATE TABLE Apartment_Bookings (booking_start_date VARCHAR, booking_end_date VARCHAR)|SELECT booking_start_date, booking_end_date FROM Apartment_Bookings|SELECT booking_start_date, booking_end_date FROM Apartment_Bookings
Show all distinct building descriptions.|CREATE TABLE Apartment_Buildings (building_description VARCHAR)|SELECT DISTINCT building_description FROM Apartment_Buildings|SELECT DISTINCT building_description FROM Apartment_Buildings
"Show the short names of the buildings managed by ""Emma""."|CREATE TABLE Apartment_Buildings (building_short_name VARCHAR, building_manager VARCHAR)|"SELECT building_short_name FROM Apartment_Buildings WHERE building_manager = ""Emma"""|SELECT building_short_name FROM Apartment_Buildings WHERE building_manager = 'Emma'
How many heads of the departments are older than 56 ?|CREATE TABLE head (age INTEGER)|SELECT COUNT(*) FROM head WHERE age > 56|SELECT count(*) FROM head WHERE age > 56
List the name, born state and age of the heads of departments ordered by age.|CREATE TABLE head (name VARCHAR, born_state VARCHAR, age VARCHAR)|SELECT name, born_state, age FROM head ORDER BY age|SELECT name, born_state, age FROM head ORDER BY age
List the creation year, name and budget of each department.|CREATE TABLE department (creation VARCHAR, name VARCHAR, budget_in_billions VARCHAR)|SELECT creation, name, budget_in_billions FROM department|SELECT creation, name, budget_in_billions FROM department
What are the maximum and minimum budget of the departments?|CREATE TABLE department (budget_in_billions INTEGER)|SELECT MAX(budget_in_billions), MIN(budget_in_billions) FROM department|SELECT max(budget_in_billions), min(budget_in_billions) FROM department
What is the average number of employees of the departments whose rank is between 10 and 15?|CREATE TABLE department (num_employees INTEGER, ranking INTEGER)|SELECT AVG(num_employees) FROM department WHERE ranking BETWEEN 10 AND 15|SELECT avg(num_employees) FROM department WHERE ranking BETWEEN 10 AND 15
What are the names of the heads who are born outside the California state?|CREATE TABLE head (name VARCHAR, born_state VARCHAR)|SELECT name FROM head WHERE born_state <> 'California'|SELECT name FROM head WHERE born_state != 'California'
