question|context|answer|sql_generado
Show the name of track and the number of races in each track.|CREATE TABLE track (name VARCHAR, track_id VARCHAR); CREATE TABLE race (track_id VARCHAR)|SELECT T2.name, COUNT(*) FROM race AS T1 JOIN track AS T2 ON T1.track_id = T2.track_id GROUP BY T1.track_id|SELECT T1.name, COUNT(T2.track_id) FROM track AS T1 INNER JOIN race AS T2 ON T1.track_id = T2.track_id GROUP BY T1.name
Show the name of track with most number of races.|CREATE TABLE track (name VARCHAR, track_id VARCHAR); CREATE TABLE race (track_id VARCHAR)|SELECT T2.name FROM race AS T1 JOIN track AS T2 ON T1.track_id = T2.track_id GROUP BY T1.track_id ORDER BY COUNT(*) DESC LIMIT 1|SELECT T1.name FROM track AS T1 INNER JOIN race AS T2 ON T1.track_id = T2.track_id GROUP BY T1.name ORDER BY COUNT(*) DESC LIMIT 1
Show the name and date for each race and its track name.|CREATE TABLE race (name VARCHAR, date VARCHAR, track_id VARCHAR); CREATE TABLE track (name VARCHAR, track_id VARCHAR)|SELECT T1.name, T1.date, T2.name FROM race AS T1 JOIN track AS T2 ON T1.track_id = T2.track_id|SELECT T1.name, T1.date, T2.name FROM race AS T1 INNER JOIN track AS T2 ON T1.track_id = T2.track_id
Show the name and location of track with 1 race.|CREATE TABLE race (track_id VARCHAR); CREATE TABLE track (name VARCHAR, location VARCHAR, track_id VARCHAR)|SELECT T2.name, T2.location FROM race AS T1 JOIN track AS T2 ON T1.track_id = T2.track_id GROUP BY T1.track_id HAVING COUNT(*) = 1|SELECT T1.name, T1.location FROM track AS T1 INNER JOIN race AS T2 ON T1.track_id = T2.track_id GROUP BY T1.track_id HAVING COUNT(T2.track_id) = 1
Find the locations where have both tracks with more than 90000 seats and tracks with less than 70000 seats.|CREATE TABLE track (LOCATION VARCHAR, seating INTEGER)|SELECT LOCATION FROM track WHERE seating > 90000 INTERSECT SELECT LOCATION FROM track WHERE seating < 70000|SELECT LOCATION FROM track WHERE seating > 90000 INTERSECT SELECT LOCATION FROM track WHERE seating < 70000
How many members have the black membership card?|CREATE TABLE member (Membership_card VARCHAR)|SELECT COUNT(*) FROM member WHERE Membership_card = 'Black'|SELECT COUNT(*) FROM member WHERE Membership_card = 'black'
Find the number of members living in each address.|CREATE TABLE member (address VARCHAR)|SELECT COUNT(*), address FROM member GROUP BY address|SELECT address, COUNT(*) FROM member GROUP BY address
Give me the names of members whose address is in Harford or Waterbury.|CREATE TABLE member (name VARCHAR, address VARCHAR)|SELECT name FROM member WHERE address = 'Harford' OR address = 'Waterbury'|SELECT name FROM member WHERE address IN ('Harford', 'Waterbury')
Find the ids and names of members who are under age 30 or with black membership card.|CREATE TABLE member (name VARCHAR, member_id VARCHAR, Membership_card VARCHAR, age VARCHAR)|SELECT name, member_id FROM member WHERE Membership_card = 'Black' OR age < 30|SELECT member_id, name FROM member WHERE age < 30 OR Membership_card = 'black'
Find the purchase time, age and address of each member, and show the results in the order of purchase time.|CREATE TABLE member (Time_of_purchase VARCHAR, age VARCHAR, address VARCHAR)|SELECT Time_of_purchase, age, address FROM member ORDER BY Time_of_purchase|SELECT Time_of_purchase, age, address FROM member ORDER BY Time_of_purchase
Which membership card has more than 5 members?|CREATE TABLE member (Membership_card VARCHAR)|SELECT Membership_card FROM member GROUP BY Membership_card HAVING COUNT(*) > 5|SELECT Membership_card FROM member GROUP BY Membership_card HAVING COUNT(*) > 5
Which address has both members younger than 30 and members older than 40?|CREATE TABLE member (address VARCHAR, age INTEGER)|SELECT address FROM member WHERE age < 30 INTERSECT SELECT address FROM member WHERE age > 40|SELECT address FROM member WHERE age < 30 INTERSECT SELECT address FROM member WHERE age > 40
What is the membership card held by both members living in Hartford and ones living in Waterbury address?|CREATE TABLE member (membership_card VARCHAR, address VARCHAR)|SELECT membership_card FROM member WHERE address = 'Hartford' INTERSECT SELECT membership_card FROM member WHERE address = 'Waterbury'|SELECT membership_card FROM member WHERE address = 'Hartford' INTERSECT SELECT membership_card FROM member WHERE address = 'Waterbury'
How many members are not living in Hartford?|CREATE TABLE member (address VARCHAR)|SELECT COUNT(*) FROM member WHERE address <> 'Hartford'|SELECT COUNT(*) FROM member WHERE address <> 'Hartford';
Which address do not have any member with the black membership card?|CREATE TABLE member (address VARCHAR, Membership_card VARCHAR)|SELECT address FROM member EXCEPT SELECT address FROM member WHERE Membership_card = 'Black'|SELECT DISTINCT address FROM member WHERE Membership_card <> 'black'
Show the shop addresses ordered by their opening year.|CREATE TABLE shop (address VARCHAR, open_year VARCHAR)|SELECT address FROM shop ORDER BY open_year|SELECT address FROM shop ORDER BY open_year
What are the average score and average staff number of all shops?|CREATE TABLE shop (num_of_staff INTEGER, score INTEGER)|SELECT AVG(num_of_staff), AVG(score) FROM shop|SELECT AVG(score), AVG(num_of_staff) FROM shop
Find the id and address of the shops whose score is below the average score.|CREATE TABLE shop (shop_id VARCHAR, address VARCHAR, score INTEGER)|SELECT shop_id, address FROM shop WHERE score < (SELECT AVG(score) FROM shop)|SELECT shop_id, address FROM shop WHERE score < (SELECT AVG(score) FROM shop)
Find the address and staff number of the shops that do not have any happy hour.|CREATE TABLE shop (address VARCHAR, num_of_staff VARCHAR, shop_id VARCHAR); CREATE TABLE happy_hour (address VARCHAR, num_of_staff VARCHAR, shop_id VARCHAR)|SELECT address, num_of_staff FROM shop WHERE NOT shop_id IN (SELECT shop_id FROM happy_hour)|SELECT address, num_of_staff FROM shop WHERE shop_id NOT IN (SELECT shop_id FROM happy_hour)
What are the id and address of the shops which have a happy hour in May?|CREATE TABLE shop (address VARCHAR, shop_id VARCHAR); CREATE TABLE happy_hour (shop_id VARCHAR)|SELECT t1.address, t1.shop_id FROM shop AS t1 JOIN happy_hour AS t2 ON t1.shop_id = t2.shop_id WHERE MONTH = 'May'|SELECT T1.shop_id, T1.address FROM shop T1 INNER JOIN happy_hour T2 ON T1.shop_id = T2.shop_id
which shop has happy hour most frequently? List its id and number of happy hours.|CREATE TABLE happy_hour (shop_id VARCHAR)|SELECT shop_id, COUNT(*) FROM happy_hour GROUP BY shop_id ORDER BY COUNT(*) DESC LIMIT 1|SELECT shop_id, COUNT(*) AS num_happy_hours FROM happy_hour GROUP BY shop_id ORDER BY num_happy_hours DESC LIMIT 1
Which month has the most happy hours?|CREATE TABLE happy_hour (MONTH VARCHAR)|SELECT MONTH FROM happy_hour GROUP BY MONTH ORDER BY COUNT(*) DESC LIMIT 1|SELECT MONTH FROM happy_hour GROUP BY MONTH ORDER BY COUNT(*) DESC LIMIT 1
Which months have more than 2 happy hours?|CREATE TABLE happy_hour (MONTH VARCHAR)|SELECT MONTH FROM happy_hour GROUP BY MONTH HAVING COUNT(*) > 2|SELECT MONTH FROM happy_hour GROUP BY MONTH HAVING COUNT(*) > 2
How many albums are there?|CREATE TABLE ALBUM (Id VARCHAR)|SELECT COUNT(*) FROM ALBUM|SELECT COUNT(*) FROM ALBUM
List the names of all music genres.|CREATE TABLE GENRE (Name VARCHAR)|SELECT Name FROM GENRE|SELECT Name FROM GENRE
Find all the customer information in state NY.|CREATE TABLE CUSTOMER (State VARCHAR)|"SELECT * FROM CUSTOMER WHERE State = ""NY"""|SELECT * FROM CUSTOMER WHERE State = 'NY'
What are the first names and last names of the employees who live in Calgary city.|CREATE TABLE EMPLOYEE (FirstName VARCHAR, LastName VARCHAR, City VARCHAR)|"SELECT FirstName, LastName FROM EMPLOYEE WHERE City = ""Calgary"""|SELECT FirstName, LastName FROM EMPLOYEE WHERE City = 'Calgary'
What are the distinct billing countries of the invoices?|CREATE TABLE INVOICE (BillingCountry VARCHAR)|SELECT DISTINCT (BillingCountry) FROM INVOICE|SELECT DISTINCT BillingCountry FROM INVOICE
"Find the names of all artists that have ""a"" in their names."|CREATE TABLE ARTIST (Name VARCHAR)|"SELECT Name FROM ARTIST WHERE Name LIKE ""%a%"""|SELECT Name FROM ARTIST WHERE Name LIKE '%a%'
"Find the title of all the albums of the artist ""AC/DC""."|CREATE TABLE ARTIST (ArtistId VARCHAR, Name VARCHAR); CREATE TABLE ALBUM (ArtistId VARCHAR)|"SELECT Title FROM ALBUM AS T1 JOIN ARTIST AS T2 ON T1.ArtistId = T2.ArtistId WHERE T2.Name = ""AC/DC"""|SELECT T1.Title FROM ALBUM AS T1 INNER JOIN ARTIST AS T2 ON T1.ArtistId = T2.ArtistId WHERE T2.Name = 'AC/DC'
"Hom many albums does the artist ""Metallica"" have?"|CREATE TABLE ARTIST (ArtistId VARCHAR, Name VARCHAR); CREATE TABLE ALBUM (ArtistId VARCHAR)|"SELECT COUNT(*) FROM ALBUM AS T1 JOIN ARTIST AS T2 ON T1.ArtistId = T2.ArtistId WHERE T2.Name = ""Metallica"""|SELECT COUNT(*) FROM ALBUM AS T1 INNER JOIN ARTIST AS T2 ON T1.ArtistId = T2.ArtistId WHERE T2.Name = 'Metallica'
"Which artist does the album ""Balls to the Wall"" belong to?"|CREATE TABLE ALBUM (ArtistId VARCHAR, Title VARCHAR); CREATE TABLE ARTIST (Name VARCHAR, ArtistId VARCHAR)|"SELECT T2.Name FROM ALBUM AS T1 JOIN ARTIST AS T2 ON T1.ArtistId = T2.ArtistId WHERE T1.Title = ""Balls to the Wall"""|SELECT T2.Name FROM ALBUM AS T1 INNER JOIN ARTIST AS T2 ON T1.ArtistId = T2.ArtistId WHERE T1.Title = 'Balls to the Wall'
Which artist has the most albums?|CREATE TABLE ALBUM (ArtistId VARCHAR); CREATE TABLE ARTIST (Name VARCHAR, ArtistId VARCHAR)|SELECT T2.Name FROM ALBUM AS T1 JOIN ARTIST AS T2 ON T1.ArtistId = T2.ArtistId GROUP BY T2.Name ORDER BY COUNT(*) DESC LIMIT 1|SELECT T1.Name FROM ARTIST AS T1 INNER JOIN ALBUM AS T2 ON T1.ArtistId = T2.ArtistId GROUP BY T1.ArtistId ORDER BY COUNT(*) DESC LIMIT 1
"Find the names of all the tracks that contain the word ""you""."|CREATE TABLE TRACK (Name VARCHAR)|SELECT Name FROM TRACK WHERE Name LIKE '%you%'|SELECT Name FROM TRACK WHERE Name LIKE '%you%';
What is the average unit price of all the tracks?|CREATE TABLE TRACK (UnitPrice INTEGER)|SELECT AVG(UnitPrice) FROM TRACK|SELECT AVG(UnitPrice) FROM TRACK
What are the durations of the longest and the shortest tracks in milliseconds?|CREATE TABLE TRACK (Milliseconds INTEGER)|SELECT MAX(Milliseconds), MIN(Milliseconds) FROM TRACK|SELECT MAX(Milliseconds), MIN(Milliseconds) FROM TRACK
Show the album names, ids and the number of tracks for each album.|CREATE TABLE ALBUM (Title VARCHAR, AlbumId VARCHAR); CREATE TABLE TRACK (AlbumID VARCHAR, AlbumId VARCHAR)|SELECT T1.Title, T2.AlbumID, COUNT(*) FROM ALBUM AS T1 JOIN TRACK AS T2 ON T1.AlbumId = T2.AlbumId GROUP BY T2.AlbumID|SELECT T1.Title, T1.AlbumId, COUNT(T2.TrackId) FROM ALBUM AS T1 INNER JOIN TRACK AS T2 ON T1.AlbumId = T2.AlbumId GROUP BY T1.AlbumId, T1.Title
What is the name of the most common genre in all tracks?|CREATE TABLE GENRE (Name VARCHAR, GenreId VARCHAR); CREATE TABLE TRACK (GenreId VARCHAR)|SELECT T1.Name FROM GENRE AS T1 JOIN TRACK AS T2 ON T1.GenreId = T2.GenreId GROUP BY T2.GenreId ORDER BY COUNT(*) DESC LIMIT 1|SELECT T1.Name FROM GENRE AS T1 INNER JOIN TRACK AS T2 ON T1.GenreId = T2.GenreId GROUP BY T1.Name ORDER BY COUNT(*) DESC LIMIT 1
What is the least common media type in all tracks?|CREATE TABLE MEDIATYPE (Name VARCHAR, MediaTypeId VARCHAR); CREATE TABLE TRACK (MediaTypeId VARCHAR)|SELECT T1.Name FROM MEDIATYPE AS T1 JOIN TRACK AS T2 ON T1.MediaTypeId = T2.MediaTypeId GROUP BY T2.MediaTypeId ORDER BY COUNT(*) LIMIT 1|SELECT T1.Name FROM MEDIATYPE AS T1 INNER JOIN TRACK AS T2 ON T1.MediaTypeId = T2.MediaTypeId GROUP BY T1.Name ORDER BY COUNT(*) ASC LIMIT 1
Show the album names and ids for albums that contain tracks with unit price bigger than 1.|CREATE TABLE ALBUM (Title VARCHAR, AlbumId VARCHAR); CREATE TABLE TRACK (AlbumID VARCHAR, AlbumId VARCHAR, UnitPrice INTEGER)|SELECT T1.Title, T2.AlbumID FROM ALBUM AS T1 JOIN TRACK AS T2 ON T1.AlbumId = T2.AlbumId WHERE T2.UnitPrice > 1 GROUP BY T2.AlbumID|SELECT DISTINCT T1.Title, T1.AlbumId FROM ALBUM T1 INNER JOIN TRACK T2 ON T1.AlbumId = T2.AlbumId WHERE T2.UnitPrice > 1
How many tracks belong to rock genre?|CREATE TABLE TRACK (GenreId VARCHAR); CREATE TABLE GENRE (GenreId VARCHAR, Name VARCHAR)|"SELECT COUNT(*) FROM GENRE AS T1 JOIN TRACK AS T2 ON T1.GenreId = T2.GenreId WHERE T1.Name = ""Rock"""|SELECT COUNT(T1.GenreId) FROM TRACK AS T1 INNER JOIN GENRE AS T2 ON T1.GenreId = T2.GenreId WHERE T2.Name = 'Rock'
What is the average unit price of tracks that belong to Jazz genre?|CREATE TABLE TRACK (GenreId VARCHAR); CREATE TABLE GENRE (GenreId VARCHAR, Name VARCHAR)|"SELECT AVG(UnitPrice) FROM GENRE AS T1 JOIN TRACK AS T2 ON T1.GenreId = T2.GenreId WHERE T1.Name = ""Jazz"""|SELECT AVG(T1.UnitPrice) FROM TRACK T1 INNER JOIN GENRE T2 ON T1.GenreId = T2.GenreId WHERE T2.Name = 'Jazz'
"What is the first name and last name of the customer that has email ""luisg@embraer.com.br""?"|CREATE TABLE CUSTOMER (FirstName VARCHAR, LastName VARCHAR, Email VARCHAR)|"SELECT FirstName, LastName FROM CUSTOMER WHERE Email = ""luisg@embraer.com.br"""|SELECT FirstName, LastName FROM CUSTOMER WHERE Email = 'luisg@embraer.com.br';
"How many customers have email that contains ""gmail.com""?"|CREATE TABLE CUSTOMER (Email VARCHAR)|"SELECT COUNT(*) FROM CUSTOMER WHERE Email LIKE ""%gmail.com%"""|SELECT COUNT(*) FROM CUSTOMER WHERE Email LIKE '%gmail.com%';
What is the first name and last name employee helps the customer with first name Leonie?|CREATE TABLE CUSTOMER (SupportRepId VARCHAR, FirstName VARCHAR); CREATE TABLE EMPLOYEE (FirstName VARCHAR, LastName VARCHAR, EmployeeId VARCHAR)|"SELECT T2.FirstName, T2.LastName FROM CUSTOMER AS T1 JOIN EMPLOYEE AS T2 ON T1.SupportRepId = T2.EmployeeId WHERE T1.FirstName = ""Leonie"""|SELECT T1.FirstName, T1.LastName FROM EMPLOYEE AS T1 INNER JOIN CUSTOMER AS T2 ON T1.EmployeeId = T2.SupportRepId WHERE T2.FirstName = 'Leonie'
What city does the employee who helps the customer with postal code 70174 live in?|CREATE TABLE EMPLOYEE (City VARCHAR, EmployeeId VARCHAR); CREATE TABLE CUSTOMER (SupportRepId VARCHAR, PostalCode VARCHAR)|"SELECT T2.City FROM CUSTOMER AS T1 JOIN EMPLOYEE AS T2 ON T1.SupportRepId = T2.EmployeeId WHERE T1.PostalCode = ""70174"""|SELECT T1.City FROM EMPLOYEE AS T1 INNER JOIN CUSTOMER AS T2 ON T1.EmployeeId = T2.SupportRepId WHERE T2.PostalCode = '70174'
How many distinct cities does the employees live in?|CREATE TABLE EMPLOYEE (city VARCHAR)|SELECT COUNT(DISTINCT city) FROM EMPLOYEE|SELECT COUNT(DISTINCT city) FROM EMPLOYEE
Find all invoice dates corresponding to customers with first name Astrid and last name Gruber.|CREATE TABLE CUSTOMER (CustomerId VARCHAR, FirstName VARCHAR); CREATE TABLE INVOICE (InvoiceDate VARCHAR, CustomerId VARCHAR)|"SELECT T2.InvoiceDate FROM CUSTOMER AS T1 JOIN INVOICE AS T2 ON T1.CustomerId = T2.CustomerId WHERE T1.FirstName = ""Astrid"" AND LastName = ""Gruber"""|SELECT T1.InvoiceDate FROM INVOICE AS T1 INNER JOIN CUSTOMER AS T2 ON T1.CustomerId = T2.CustomerId WHERE T2.FirstName = 'Astrid'
Find all the customer last names that do not have invoice totals larger than 20.|CREATE TABLE CUSTOMER (LastName VARCHAR); CREATE TABLE CUSTOMER (LastName VARCHAR, CustomerId VARCHAR); CREATE TABLE Invoice (CustomerId VARCHAR, total INTEGER)|SELECT LastName FROM CUSTOMER EXCEPT SELECT T1.LastName FROM CUSTOMER AS T1 JOIN Invoice AS T2 ON T1.CustomerId = T2.CustomerId WHERE T2.total > 20|SELECT DISTINCT LastName FROM CUSTOMER WHERE CustomerId NOT IN (SELECT CustomerId FROM Invoice WHERE total > 20)
Find the first names of all customers that live in Brazil and have an invoice.|CREATE TABLE CUSTOMER (FirstName VARCHAR, CustomerId VARCHAR, country VARCHAR); CREATE TABLE INVOICE (CustomerId VARCHAR)|"SELECT DISTINCT T1.FirstName FROM CUSTOMER AS T1 JOIN INVOICE AS T2 ON T1.CustomerId = T2.CustomerId WHERE T1.country = ""Brazil"""|SELECT T1.FirstName FROM CUSTOMER T1 INNER JOIN INVOICE T2 ON T1.CustomerId = T2.CustomerId WHERE T1.country = 'Brazil'
Find the address of all customers that live in Germany and have invoice.|CREATE TABLE INVOICE (CustomerId VARCHAR); CREATE TABLE CUSTOMER (Address VARCHAR, CustomerId VARCHAR, country VARCHAR)|"SELECT DISTINCT T1.Address FROM CUSTOMER AS T1 JOIN INVOICE AS T2 ON T1.CustomerId = T2.CustomerId WHERE T1.country = ""Germany"""|SELECT T1.Address FROM CUSTOMER AS T1 INNER JOIN INVOICE AS T2 ON T1.CustomerId = T2.CustomerId WHERE T1.country = 'Germany'
List the phone numbers of all employees.|CREATE TABLE EMPLOYEE (Phone VARCHAR)|SELECT Phone FROM EMPLOYEE|SELECT Phone FROM EMPLOYEE
How many tracks are in the AAC audio file media type?|CREATE TABLE MEDIATYPE (MediaTypeId VARCHAR, Name VARCHAR); CREATE TABLE TRACK (MediaTypeId VARCHAR)|"SELECT COUNT(*) FROM MEDIATYPE AS T1 JOIN TRACK AS T2 ON T1.MediaTypeId = T2.MediaTypeId WHERE T1.Name = ""AAC audio file"""|SELECT COUNT(*) FROM TRACK T1 INNER JOIN MEDIATYPE T2 ON T1.MediaTypeId = T2.MediaTypeId WHERE T2.Name = 'AAC audio file'
What is the average duration in milliseconds of tracks that belong to Latin or Pop genre?|CREATE TABLE TRACK (GenreId VARCHAR); CREATE TABLE GENRE (GenreId VARCHAR, Name VARCHAR)|"SELECT AVG(Milliseconds) FROM GENRE AS T1 JOIN TRACK AS T2 ON T1.GenreId = T2.GenreId WHERE T1.Name = ""Latin"" OR T1.Name = ""Pop"""|SELECT AVG(milliseconds) FROM track AS T1 INNER JOIN genre AS T2 ON T1.genreid = T2.genreid WHERE T2.name IN ('Latin', 'Pop')
Please show the employee first names and ids of employees who serve at least 10 customers.|CREATE TABLE CUSTOMER (FirstName VARCHAR, SupportRepId VARCHAR); CREATE TABLE EMPLOYEE (EmployeeId VARCHAR)|SELECT T1.FirstName, T1.SupportRepId FROM CUSTOMER AS T1 JOIN EMPLOYEE AS T2 ON T1.SupportRepId = T2.EmployeeId GROUP BY T1.SupportRepId HAVING COUNT(*) >= 10|SELECT T2.FirstName, T2.EmployeeId FROM CUSTOMER AS T1 INNER JOIN EMPLOYEE AS T2 ON T1.SupportRepId = T2.EmployeeId GROUP BY T2.EmployeeId HAVING COUNT(T1.FirstName) >= 10
Please show the employee last names that serves no more than 20 customers.|CREATE TABLE EMPLOYEE (EmployeeId VARCHAR); CREATE TABLE CUSTOMER (LastName VARCHAR, SupportRepId VARCHAR)|SELECT T1.LastName FROM CUSTOMER AS T1 JOIN EMPLOYEE AS T2 ON T1.SupportRepId = T2.EmployeeId GROUP BY T1.SupportRepId HAVING COUNT(*) <= 20|SELECT T1.LastName FROM CUSTOMER AS T1 INNER JOIN EMPLOYEE AS T2 ON T1.SupportRepId = T2.EmployeeId GROUP BY T1.SupportRepId HAVING COUNT(*) <= 20
Please list all album titles in alphabetical order.|CREATE TABLE ALBUM (Title VARCHAR)|SELECT Title FROM ALBUM ORDER BY Title|SELECT Title FROM ALBUM ORDER BY Title
Please list the name and id of all artists that have at least 3 albums in alphabetical order.|CREATE TABLE ARTIST (Name VARCHAR, ArtistID VARCHAR); CREATE TABLE ALBUM (ArtistId VARCHAR)|SELECT T2.Name, T1.ArtistId FROM ALBUM AS T1 JOIN ARTIST AS T2 ON T1.ArtistId = T2.ArtistID GROUP BY T1.ArtistId HAVING COUNT(*) >= 3 ORDER BY T2.Name|SELECT T1.Name, T1.ArtistID FROM ARTIST AS T1 INNER JOIN ALBUM AS T2 ON T1.ArtistID = T2.ArtistId GROUP BY T1.ArtistID HAVING COUNT(T2.ArtistId) >= 3 ORDER BY T1.Name
Find the names of artists that do not have any albums.|CREATE TABLE ARTIST (Name VARCHAR); CREATE TABLE ALBUM (ArtistId VARCHAR); CREATE TABLE ARTIST (Name VARCHAR, ArtistId VARCHAR)|SELECT Name FROM ARTIST EXCEPT SELECT T2.Name FROM ALBUM AS T1 JOIN ARTIST AS T2 ON T1.ArtistId = T2.ArtistId|SELECT Name FROM ARTIST WHERE ArtistId NOT IN (SELECT ArtistId FROM ALBUM)
What is the average unit price of rock tracks?|CREATE TABLE GENRE (GenreId VARCHAR, Name VARCHAR); CREATE TABLE TRACK (UnitPrice INTEGER, GenreId VARCHAR)|"SELECT AVG(T2.UnitPrice) FROM GENRE AS T1 JOIN TRACK AS T2 ON T1.GenreId = T2.GenreId WHERE T1.Name = ""Rock"""|SELECT AVG(T1.UnitPrice) FROM TRACK AS T1 INNER JOIN GENRE AS T2 ON T1.GenreId = T2.GenreId WHERE T2.Name = 'Rock'
What are the duration of the longest and shortest pop tracks in milliseconds?|CREATE TABLE TRACK (GenreId VARCHAR); CREATE TABLE GENRE (GenreId VARCHAR, Name VARCHAR)|"SELECT MAX(Milliseconds), MIN(Milliseconds) FROM GENRE AS T1 JOIN TRACK AS T2 ON T1.GenreId = T2.GenreId WHERE T1.Name = ""Pop"""|SELECT MAX(Milliseconds), MIN(Milliseconds) FROM TRACK AS T1 INNER JOIN GENRE AS T2 ON T1.GenreId = T2.GenreId WHERE T2.Name = 'Pop'
What are the birth dates of employees living in Edmonton?|CREATE TABLE EMPLOYEE (BirthDate VARCHAR, City VARCHAR)|"SELECT BirthDate FROM EMPLOYEE WHERE City = ""Edmonton"""|SELECT BirthDate FROM EMPLOYEE WHERE City = 'Edmonton'
What are the distinct unit prices of all tracks?|CREATE TABLE TRACK (UnitPrice VARCHAR)|SELECT DISTINCT (UnitPrice) FROM TRACK|SELECT DISTINCT UnitPrice FROM TRACK
How many artists do not have any album?|CREATE TABLE ARTIST (artistid VARCHAR); CREATE TABLE ALBUM (artistid VARCHAR)|SELECT COUNT(*) FROM ARTIST WHERE NOT artistid IN (SELECT artistid FROM ALBUM)|SELECT COUNT(DISTINCT artistid) FROM ARTIST WHERE artistid NOT IN (SELECT artistid FROM ALBUM)
What are the album titles for albums containing both 'Reggae' and 'Rock' genre tracks?|CREATE TABLE Genre (GenreID VARCHAR, Name VARCHAR); CREATE TABLE Track (AlbumId VARCHAR, GenreID VARCHAR); CREATE TABLE Album (Title VARCHAR, AlbumId VARCHAR)|SELECT T1.Title FROM Album AS T1 JOIN Track AS T2 ON T1.AlbumId = T2.AlbumId JOIN Genre AS T3 ON T2.GenreID = T3.GenreID WHERE T3.Name = 'Reggae' INTERSECT SELECT T1.Title FROM Album AS T1 JOIN Track AS T2 ON T1.AlbumId = T2.AlbumId JOIN Genre AS T3 ON T2.GenreID = T3.GenreID WHERE T3.Name = 'Rock'|SELECT DISTINCT T1.Title FROM Album AS T1 INNER JOIN Track AS T2 ON T1.AlbumId = T2.AlbumId INNER JOIN Genre AS T3 ON T2.GenreID = T3.GenreID WHERE T3.Name = 'Reggae' INTERSECT SELECT DISTINCT T1.Title FROM Album AS T1 INNER JOIN Track AS T2 ON T1.AlbumId = T2.AlbumId INNER JOIN Genre AS T3 ON T2.GenreID = T3.GenreID WHERE T3.Name = 'Rock'
