question|context|answer|sql_generado
"What is maximum and minimum RAM size of phone produced by company named ""Nokia Corporation""?"|CREATE TABLE phone (chip_model VARCHAR, Company_name VARCHAR); CREATE TABLE chip_model (RAM_MiB INTEGER, Model_name VARCHAR)|"SELECT MAX(T1.RAM_MiB), MIN(T1.RAM_MiB) FROM chip_model AS T1 JOIN phone AS T2 ON T1.Model_name = T2.chip_model WHERE T2.Company_name = ""Nokia Corporation"""|SELECT MAX(T2.RAM_MiB), MIN(T2.RAM_MiB) FROM phone AS T1 JOIN chip_model AS T2 ON T1.chip_model = T2.Model_name WHERE T1.Company_name = 'Nokia Corporation'
"What is the average ROM size of phones produced by the company named ""Nokia Corporation""?"|CREATE TABLE phone (chip_model VARCHAR, Company_name VARCHAR); CREATE TABLE chip_model (ROM_MiB INTEGER, Model_name VARCHAR)|"SELECT AVG(T1.ROM_MiB) FROM chip_model AS T1 JOIN phone AS T2 ON T1.Model_name = T2.chip_model WHERE T2.Company_name = ""Nokia Corporation"""|SELECT AVG(T2.ROM_MiB) FROM phone AS T1 JOIN chip_model AS T2 ON T1.chip_model = T2.Model_name WHERE T1.Company_name = 'Nokia Corporation'
List the hardware model name and company name for all the phones that were launched in year 2002 or have RAM size greater than 32.|CREATE TABLE chip_model (Model_name VARCHAR, Launch_year VARCHAR, RAM_MiB VARCHAR); CREATE TABLE phone (Hardware_Model_name VARCHAR, Company_name VARCHAR, chip_model VARCHAR)|SELECT T2.Hardware_Model_name, T2.Company_name FROM chip_model AS T1 JOIN phone AS T2 ON T1.Model_name = T2.chip_model WHERE T1.Launch_year = 2002 OR T1.RAM_MiB > 32|SELECT T2.Hardware_Model_name, T2.Company_name FROM chip_model AS T1 JOIN phone AS T2 ON T1.Model_name = T2.chip_model WHERE T1.Launch_year = '2002' OR CAST(T1.RAM_MiB AS INTEGER) > 32
Find all phones that have word 'Full' in their accreditation types. List the Hardware Model name and Company name.|CREATE TABLE phone (Hardware_Model_name VARCHAR, Company_name VARCHAR, Accreditation_type VARCHAR)|SELECT Hardware_Model_name, Company_name FROM phone WHERE Accreditation_type LIKE 'Full'|SELECT Hardware_Model_name, Company_name FROM phone WHERE Accreditation_type LIKE '%Full%'
"Find the Char cells, Pixels and Hardware colours for the screen of the phone whose hardware model name is ""LG-P760""."|CREATE TABLE phone (screen_mode VARCHAR, Hardware_Model_name VARCHAR); CREATE TABLE screen_mode (Char_cells VARCHAR, Pixels VARCHAR, Hardware_colours VARCHAR, Graphics_mode VARCHAR)|"SELECT T1.Char_cells, T1.Pixels, T1.Hardware_colours FROM screen_mode AS T1 JOIN phone AS T2 ON T1.Graphics_mode = T2.screen_mode WHERE T2.Hardware_Model_name = ""LG-P760"""|SELECT T2.Char_cells, T2.Pixels, T2.Hardware_colours FROM phone AS T1 JOIN screen_mode AS T2 ON T1.screen_mode = T2.Graphics_mode WHERE T1.Hardware_Model_name = 'LG-P760'
"List the hardware model name and company name for the phone whose screen mode type is ""Graphics."""|CREATE TABLE phone (Hardware_Model_name VARCHAR, Company_name VARCHAR, screen_mode VARCHAR); CREATE TABLE screen_mode (Graphics_mode VARCHAR, Type VARCHAR)|"SELECT T2.Hardware_Model_name, T2.Company_name FROM screen_mode AS T1 JOIN phone AS T2 ON T1.Graphics_mode = T2.screen_mode WHERE T1.Type = ""Graphics"""|SELECT T1.Hardware_Model_name, T1.Company_name FROM phone AS T1 JOIN screen_mode AS T2 ON T1.screen_mode = T2.Graphics_mode WHERE T2.Type = 'Graphics'
Find the name of the company that has the least number of phone models. List the company name and the number of phone model produced by that company.|CREATE TABLE phone (Company_name VARCHAR)|SELECT Company_name, COUNT(*) FROM phone GROUP BY Company_name ORDER BY COUNT(*) LIMIT 1|SELECT Company_name, COUNT(*) FROM phone GROUP BY Company_name ORDER BY COUNT(*) ASC LIMIT 1
List the name of the company that produced more than one phone model.|CREATE TABLE phone (Company_name VARCHAR)|SELECT Company_name FROM phone GROUP BY Company_name HAVING COUNT(*) > 1|SELECT Company_name FROM phone GROUP BY Company_name HAVING COUNT(*) > 1
List the maximum, minimum and average number of used kb in screen mode.|CREATE TABLE screen_mode (used_kb INTEGER)|SELECT MAX(used_kb), MIN(used_kb), AVG(used_kb) FROM screen_mode|SELECT MAX(used_kb), MIN(used_kb), AVG(used_kb) FROM screen_mode
List the name of the phone model launched in year 2002 and with the highest RAM size.|CREATE TABLE chip_model (Model_name VARCHAR, Launch_year VARCHAR, RAM_MiB VARCHAR); CREATE TABLE phone (Hardware_Model_name VARCHAR, chip_model VARCHAR)|SELECT T2.Hardware_Model_name FROM chip_model AS T1 JOIN phone AS T2 ON T1.Model_name = T2.chip_model WHERE T1.Launch_year = 2002 ORDER BY T1.RAM_MiB DESC LIMIT 1|SELECT T2.Hardware_Model_name FROM chip_model AS T1 JOIN phone AS T2 ON T1.Model_name = T2.chip_model WHERE T1.Launch_year = '2002' ORDER BY CAST(REPLACE(T1.RAM_MiB, 'GB', '') AS DECIMAL) DESC LIMIT 1
"What are the wifi and screen mode type of the hardware model named ""LG-P760""?"|CREATE TABLE phone (chip_model VARCHAR, screen_mode VARCHAR, Hardware_Model_name VARCHAR); CREATE TABLE chip_model (WiFi VARCHAR, Model_name VARCHAR); CREATE TABLE screen_mode (Type VARCHAR, Graphics_mode VARCHAR)|"SELECT T1.WiFi, T3.Type FROM chip_model AS T1 JOIN phone AS T2 ON T1.Model_name = T2.chip_model JOIN screen_mode AS T3 ON T2.screen_mode = T3.Graphics_mode WHERE T2.Hardware_Model_name = ""LG-P760"""|SELECT T2.WiFi, T3.Type FROM phone AS T1 JOIN chip_model AS T2 ON T1.chip_model = T2.Model_name JOIN screen_mode AS T3 ON T1.screen_mode = T3.Graphics_mode WHERE T1.Hardware_Model_name = 'LG-P760'
"List the hardware model name for the phones that have screen mode type ""Text"" or RAM size greater than 32."|CREATE TABLE chip_model (Model_name VARCHAR, RAM_MiB VARCHAR); CREATE TABLE phone (Hardware_Model_name VARCHAR, chip_model VARCHAR, screen_mode VARCHAR); CREATE TABLE screen_mode (Graphics_mode VARCHAR, Type VARCHAR)|"SELECT T2.Hardware_Model_name FROM chip_model AS T1 JOIN phone AS T2 ON T1.Model_name = T2.chip_model JOIN screen_mode AS T3 ON T2.screen_mode = T3.Graphics_mode WHERE T3.Type = ""Text"" OR T1.RAM_MiB > 32"|SELECT T2.Hardware_Model_name FROM screen_mode AS T1 JOIN phone AS T2 ON T1.Graphics_mode = T2.screen_mode JOIN chip_model AS T3 ON T2.chip_model = T3.Model_name WHERE T1.Type = 'Text' OR CAST(T3.RAM_MiB AS UNSIGNED) > 32 GROUP BY T2.Hardware_Model_name
"List the hardware model name for the phones that were produced by ""Nokia Corporation"" or whose screen mode type is ""Graphics."""|CREATE TABLE phone (Hardware_Model_name VARCHAR, screen_mode VARCHAR); CREATE TABLE screen_mode (Graphics_mode VARCHAR, Type VARCHAR)|"SELECT DISTINCT T2.Hardware_Model_name FROM screen_mode AS T1 JOIN phone AS T2 ON T1.Graphics_mode = T2.screen_mode WHERE T1.Type = ""Graphics"" OR t2.Company_name = ""Nokia Corporation"""|SELECT Hardware_Model_name FROM phone WHERE Hardware_Model_name = 'Nokia Corporation' UNION SELECT T1.Hardware_Model_name FROM phone AS T1 JOIN screen_mode AS T2 ON T1.screen_mode = T2.Type WHERE T2.Graphics_mode = 'Graphics'
"List the hardware model name for the phons that were produced by ""Nokia Corporation"" but whose screen mode type is not Text."|CREATE TABLE phone (Hardware_Model_name VARCHAR, screen_mode VARCHAR); CREATE TABLE screen_mode (Graphics_mode VARCHAR, Type VARCHAR)|"SELECT DISTINCT T2.Hardware_Model_name FROM screen_mode AS T1 JOIN phone AS T2 ON T1.Graphics_mode = T2.screen_mode WHERE t2.Company_name = ""Nokia Corporation"" AND T1.Type <> ""Text"""|SELECT T1.Hardware_Model_name FROM phone AS T1 JOIN screen_mode AS T2 ON T1.screen_mode = T2.Graphics_mode WHERE T1.Hardware_Model_name = 'Nokia Corporation' AND T2.Type <> 'Text'
List the phone hardware model and company name for the phones whose screen usage in kb is between 10 and 15.|CREATE TABLE phone (Hardware_Model_name VARCHAR, Company_name VARCHAR, screen_mode VARCHAR); CREATE TABLE screen_mode (Graphics_mode VARCHAR, used_kb INTEGER)|SELECT DISTINCT T2.Hardware_Model_name, T2.Company_name FROM screen_mode AS T1 JOIN phone AS T2 ON T1.Graphics_mode = T2.screen_mode WHERE T1.used_kb BETWEEN 10 AND 15|SELECT T1.Hardware_Model_name, T1.Company_name FROM phone AS T1 JOIN screen_mode AS T2 ON T1.screen_mode = T2.Graphics_mode WHERE T2.used_kb BETWEEN 10 AND 15
Find the number of phones for each accreditation type.|CREATE TABLE phone (Accreditation_type VARCHAR)|SELECT Accreditation_type, COUNT(*) FROM phone GROUP BY Accreditation_type|SELECT Accreditation_type, COUNT(*) FROM phone GROUP BY Accreditation_type
Find the accreditation level that more than 3 phones use.|CREATE TABLE phone (Accreditation_level VARCHAR)|SELECT Accreditation_level FROM phone GROUP BY Accreditation_level HAVING COUNT(*) > 3|SELECT Accreditation_level FROM phone GROUP BY Accreditation_level HAVING COUNT(*) > 3
Find the details for all chip models.|CREATE TABLE chip_model (Id VARCHAR)|SELECT * FROM chip_model|SELECT * FROM chip_model
How many models do not have the wifi function?|CREATE TABLE chip_model (wifi VARCHAR)|SELECT COUNT(*) FROM chip_model WHERE wifi = 'No'|SELECT COUNT(*) FROM chip_model WHERE wifi IS NULL
List all the model names sorted by their launch year.|CREATE TABLE chip_model (model_name VARCHAR, launch_year VARCHAR)|SELECT model_name FROM chip_model ORDER BY launch_year|SELECT model_name FROM chip_model ORDER BY launch_year
Find the average ram mib size of the chip models that are never used by any phone.|CREATE TABLE chip_model (RAM_MiB INTEGER, model_name VARCHAR, chip_model VARCHAR); CREATE TABLE phone (RAM_MiB INTEGER, model_name VARCHAR, chip_model VARCHAR)|SELECT AVG(RAM_MiB) FROM chip_model WHERE NOT model_name IN (SELECT chip_model FROM phone)|SELECT AVG(T1.RAM_MiB) FROM chip_model AS T1 LEFT JOIN phone AS T2 ON T1.chip_model = T2.chip_model WHERE T2.chip_model IS NULL
Find the names of the chip models that are not used by any phone with full accreditation type.|CREATE TABLE chip_model (model_name VARCHAR, chip_model VARCHAR, Accreditation_type VARCHAR); CREATE TABLE phone (model_name VARCHAR, chip_model VARCHAR, Accreditation_type VARCHAR)|SELECT model_name FROM chip_model EXCEPT SELECT chip_model FROM phone WHERE Accreditation_type = 'Full'|SELECT DISTINCT chip_model FROM chip_model EXCEPT SELECT T1.chip_model FROM phone AS T1 WHERE T1.Accreditation_type = 'Full';
Find the pixels of the screen modes that are used by both phones with full accreditation types and phones with Provisional accreditation types.|CREATE TABLE phone (screen_mode VARCHAR, Accreditation_type VARCHAR); CREATE TABLE screen_mode (pixels VARCHAR, Graphics_mode VARCHAR)|SELECT t1.pixels FROM screen_mode AS t1 JOIN phone AS t2 ON t1.Graphics_mode = t2.screen_mode WHERE t2.Accreditation_type = 'Provisional' INTERSECT SELECT t1.pixels FROM screen_mode AS t1 JOIN phone AS t2 ON t1.Graphics_mode = t2.screen_mode WHERE t2.Accreditation_type = 'Full'|SELECT T2.pixels FROM phone AS T1 JOIN screen_mode AS T2 ON T1.screen_mode = T2.Graphics_mode WHERE T1.Accreditation_type = 'Full' INTERSECT SELECT T2.pixels FROM phone AS T1 JOIN screen_mode AS T2 ON T1.screen_mode = T2.Graphics_mode WHERE T1.Accreditation_type = 'Provisional'
How many countries are there in total?|CREATE TABLE country (Id VARCHAR)|SELECT COUNT(*) FROM country|SELECT COUNT(*) FROM country
Show the country name and capital of all countries.|CREATE TABLE country (Country_name VARCHAR, Capital VARCHAR)|SELECT Country_name, Capital FROM country|SELECT Country_name, Capital FROM country
"Show all official native languages that contain the word ""English""."|CREATE TABLE country (Official_native_language VARCHAR)|"SELECT Official_native_language FROM country WHERE Official_native_language LIKE ""%English%"""|SELECT Official_native_language FROM country WHERE Official_native_language LIKE '%English%'
Show all distinct positions of matches.|CREATE TABLE match_season (POSITION VARCHAR)|SELECT DISTINCT POSITION FROM match_season|SELECT DISTINCT POSITION FROM match_season
Show the players from college UCLA.|CREATE TABLE match_season (Player VARCHAR, College VARCHAR)|"SELECT Player FROM match_season WHERE College = ""UCLA"""|SELECT Player FROM match_season WHERE College = 'UCLA'
Show the distinct position of players from college UCLA or Duke.|CREATE TABLE match_season (POSITION VARCHAR, College VARCHAR)|"SELECT DISTINCT POSITION FROM match_season WHERE College = ""UCLA"" OR College = ""Duke"""|SELECT DISTINCT POSITION FROM match_season WHERE College = 'UCLA' OR College = 'Duke'
Show the draft pick numbers and draft classes of players whose positions are defenders.|CREATE TABLE match_season (Draft_Pick_Number VARCHAR, Draft_Class VARCHAR, POSITION VARCHAR)|"SELECT Draft_Pick_Number, Draft_Class FROM match_season WHERE POSITION = ""Defender"""|SELECT Draft_Pick_Number, Draft_Class FROM match_season WHERE POSITION = 'defender'
How many distinct teams are involved in match seasons?|CREATE TABLE match_season (Team VARCHAR)|SELECT COUNT(DISTINCT Team) FROM match_season|SELECT COUNT(DISTINCT Team) FROM match_season
Show the players and the years played.|CREATE TABLE player (Player VARCHAR, Years_Played VARCHAR)|SELECT Player, Years_Played FROM player|SELECT Player, Years_Played FROM player
Show all team names.|CREATE TABLE Team (Name VARCHAR)|SELECT Name FROM Team|SELECT Name FROM Team
Show the season, the player, and the name of the country that player belongs to.|CREATE TABLE match_season (Season VARCHAR, Player VARCHAR, Country VARCHAR); CREATE TABLE country (Country_name VARCHAR, Country_id VARCHAR)|SELECT T2.Season, T2.Player, T1.Country_name FROM country AS T1 JOIN match_season AS T2 ON T1.Country_id = T2.Country|SELECT T1.Season, T1.Player, T2.Country_name FROM match_season AS T1 JOIN country AS T2 ON T1.Country = T2.Country_id
Which players are from Indonesia?|CREATE TABLE country (Country_id VARCHAR, Country_name VARCHAR); CREATE TABLE match_season (Player VARCHAR, Country VARCHAR)|"SELECT T2.Player FROM country AS T1 JOIN match_season AS T2 ON T1.Country_id = T2.Country WHERE T1.Country_name = ""Indonesia"""|SELECT T1.Player FROM match_season AS T1 JOIN country AS T2 ON T1.Country = T2.Country_id WHERE T2.Country_name = 'Indonesia'
What are the distinct positions of the players from a country whose capital is Dublin?|CREATE TABLE country (Country_id VARCHAR, Capital VARCHAR); CREATE TABLE match_season (Position VARCHAR, Country VARCHAR)|"SELECT DISTINCT T2.Position FROM country AS T1 JOIN match_season AS T2 ON T1.Country_id = T2.Country WHERE T1.Capital = ""Dublin"""|SELECT DISTINCT T2.Position FROM country AS T1 JOIN match_season AS T2 ON T1.Country_id = T2.Country WHERE T1.Capital = 'Dublin'
What are the official languages of the countries of players from Maryland or Duke college?|CREATE TABLE country (Official_native_language VARCHAR, Country_id VARCHAR); CREATE TABLE match_season (Country VARCHAR, College VARCHAR)|"SELECT T1.Official_native_language FROM country AS T1 JOIN match_season AS T2 ON T1.Country_id = T2.Country WHERE T2.College = ""Maryland"" OR T2.College = ""Duke"""|SELECT T1.Official_native_language FROM country AS T1 JOIN match_season AS T2 ON T1.Country_id = T2.Country WHERE T2.College = 'Maryland' OR T2.College = 'Duke'
How many distinct official languages are there among countries of players whose positions are defenders.|CREATE TABLE country (Official_native_language VARCHAR, Country_id VARCHAR); CREATE TABLE match_season (Country VARCHAR, Position VARCHAR)|"SELECT COUNT(DISTINCT T1.Official_native_language) FROM country AS T1 JOIN match_season AS T2 ON T1.Country_id = T2.Country WHERE T2.Position = ""Defender"""|SELECT COUNT(DISTINCT T1.Official_native_language) FROM country AS T1 JOIN match_season AS T2 ON T1.Country_id = T2.Country WHERE T2.Position = 'Defender'
Show the season, the player, and the name of the team that players belong to.|CREATE TABLE team (Name VARCHAR, Team_id VARCHAR); CREATE TABLE match_season (Season VARCHAR, Player VARCHAR, Team VARCHAR)|SELECT T1.Season, T1.Player, T2.Name FROM match_season AS T1 JOIN team AS T2 ON T1.Team = T2.Team_id|SELECT T2.Season, T2.Player, T1.Name FROM team AS T1 JOIN match_season AS T2 ON T1.Team_id = T2.Team
"Show the positions of the players from the team with name ""Ryley Goldner""."|CREATE TABLE match_season (Position VARCHAR, Team VARCHAR); CREATE TABLE team (Team_id VARCHAR, Name VARCHAR)|"SELECT T1.Position FROM match_season AS T1 JOIN team AS T2 ON T1.Team = T2.Team_id WHERE T2.Name = ""Ryley Goldner"""|SELECT T1.Position FROM match_season AS T1 JOIN team AS T2 ON T1.Team = T2.Team_id WHERE T2.Name = 'Ryley Goldner'
"How many distinct colleges are associated with players from the team with name ""Columbus Crew""."|CREATE TABLE match_season (College VARCHAR, Team VARCHAR); CREATE TABLE team (Team_id VARCHAR, Name VARCHAR)|"SELECT COUNT(DISTINCT T1.College) FROM match_season AS T1 JOIN team AS T2 ON T1.Team = T2.Team_id WHERE T2.Name = ""Columbus Crew"""|SELECT COUNT(DISTINCT T1.College) FROM match_season AS T1 JOIN team AS T2 ON T1.Team = T2.Team_id WHERE T2.Name = 'Columbus Crew'
"Show the players and years played for players from team ""Columbus Crew""."|CREATE TABLE player (Player VARCHAR, Years_Played VARCHAR, Team VARCHAR); CREATE TABLE team (Team_id VARCHAR, Name VARCHAR)|"SELECT T1.Player, T1.Years_Played FROM player AS T1 JOIN team AS T2 ON T1.Team = T2.Team_id WHERE T2.Name = ""Columbus Crew"""|SELECT T1.Player, T1.Years_Played FROM player AS T1 JOIN team AS T2 ON T1.Team = T2.Team_id WHERE T2.Name = 'Columbus Crew'
Show the position of players and the corresponding number of players.|CREATE TABLE match_season (POSITION VARCHAR)|SELECT POSITION, COUNT(*) FROM match_season GROUP BY POSITION|SELECT POSITION, COUNT(*) FROM match_season GROUP BY POSITION
Show the country names and the corresponding number of players.|CREATE TABLE match_season (Country VARCHAR); CREATE TABLE country (Country_name VARCHAR, Country_id VARCHAR)|SELECT Country_name, COUNT(*) FROM country AS T1 JOIN match_season AS T2 ON T1.Country_id = T2.Country GROUP BY T1.Country_name|SELECT T1.Country_name, COUNT(*) FROM country AS T1 JOIN match_season AS T2 ON T1.Country_id = T2.Country GROUP BY T1.Country_name
Return all players sorted by college in ascending alphabetical order.|CREATE TABLE match_season (player VARCHAR, College VARCHAR)|SELECT player FROM match_season ORDER BY College|SELECT player FROM match_season ORDER BY College ASC
Show the most common position of players in match seasons.|CREATE TABLE match_season (POSITION VARCHAR)|SELECT POSITION FROM match_season GROUP BY POSITION ORDER BY COUNT(*) DESC LIMIT 1|SELECT POSITION, COUNT(*) FROM match_season GROUP BY POSITION ORDER BY COUNT(*) DESC LIMIT 1
Show the top 3 most common colleges of players in match seasons.|CREATE TABLE match_season (College VARCHAR)|SELECT College FROM match_season GROUP BY College ORDER BY COUNT(*) DESC LIMIT 3|SELECT College, COUNT(*) FROM match_season GROUP BY College ORDER BY COUNT(*) DESC LIMIT 3
Show the name of colleges that have at least two players.|CREATE TABLE match_season (College VARCHAR)|SELECT College FROM match_season GROUP BY College HAVING COUNT(*) >= 2|SELECT College FROM match_season GROUP BY College HAVING COUNT(*) >= 2
Show the name of colleges that have at least two players in descending alphabetical order.|CREATE TABLE match_season (College VARCHAR)|SELECT College FROM match_season GROUP BY College HAVING COUNT(*) >= 2 ORDER BY College DESC|SELECT College FROM match_season GROUP BY College HAVING COUNT(*) >= 2 ORDER BY College DESC
What are the names of teams that do no have match season record?|CREATE TABLE match_season (Name VARCHAR, Team_id VARCHAR, Team VARCHAR); CREATE TABLE team (Name VARCHAR, Team_id VARCHAR, Team VARCHAR)|SELECT Name FROM team WHERE NOT Team_id IN (SELECT Team FROM match_season)|SELECT T1.Name FROM team AS T1 LEFT JOIN match_season AS T2 ON T1.Team_id = T2.Team_id WHERE T2.Team_id IS NULL
What are the names of countries that have both players with position forward and players with position defender?|CREATE TABLE country (Country_name VARCHAR, Country_id VARCHAR); CREATE TABLE match_season (Country VARCHAR, Position VARCHAR)|"SELECT T1.Country_name FROM country AS T1 JOIN match_season AS T2 ON T1.Country_id = T2.Country WHERE T2.Position = ""Forward"" INTERSECT SELECT T1.Country_name FROM country AS T1 JOIN match_season AS T2 ON T1.Country_id = T2.Country WHERE T2.Position = ""Defender"""|SELECT T1.Country_name FROM country AS T1 JOIN match_season AS T2 ON T1.Country_id = T2.Country WHERE T2.Position = 'forward' INTERSECT SELECT T1.Country_name FROM country AS T1 JOIN match_season AS T2 ON T1.Country_id = T2.Country WHERE T2.Position = 'defender'
Which college have both players with position midfielder and players with position defender?|CREATE TABLE match_season (College VARCHAR, POSITION VARCHAR)|"SELECT College FROM match_season WHERE POSITION = ""Midfielder"" INTERSECT SELECT College FROM match_season WHERE POSITION = ""Defender"""|SELECT College FROM match_season WHERE POSITION = 'Midfielder' INTERSECT SELECT College FROM match_season WHERE POSITION = 'Defender'
How many climbers are there?|CREATE TABLE climber (Id VARCHAR)|SELECT COUNT(*) FROM climber|SELECT COUNT(*) FROM climber
List the names of climbers in descending order of points.|CREATE TABLE climber (Name VARCHAR, Points VARCHAR)|SELECT Name FROM climber ORDER BY Points DESC|SELECT Name FROM climber ORDER BY Points DESC
List the names of climbers whose country is not Switzerland.|CREATE TABLE climber (Name VARCHAR, Country VARCHAR)|"SELECT Name FROM climber WHERE Country <> ""Switzerland"""|SELECT Name FROM climber WHERE Country <> 'Switzerland'
What is the maximum point for climbers whose country is United Kingdom?|CREATE TABLE climber (Points INTEGER, Country VARCHAR)|"SELECT MAX(Points) FROM climber WHERE Country = ""United Kingdom"""|SELECT MAX(Points) FROM climber WHERE Country = 'United Kingdom'
How many distinct countries are the climbers from?|CREATE TABLE climber (Country VARCHAR)|SELECT COUNT(DISTINCT Country) FROM climber|SELECT COUNT(DISTINCT Country) FROM climber
What are the names of mountains in ascending alphabetical order?|CREATE TABLE mountain (Name VARCHAR)|SELECT Name FROM mountain ORDER BY Name|SELECT Name FROM mountain ORDER BY Name ASC
What are the countries of mountains with height bigger than 5000?|CREATE TABLE mountain (Country VARCHAR, Height INTEGER)|SELECT Country FROM mountain WHERE Height > 5000|SELECT Country FROM mountain WHERE Height > 5000
What is the name of the highest mountain?|CREATE TABLE mountain (Name VARCHAR, Height VARCHAR)|SELECT Name FROM mountain ORDER BY Height DESC LIMIT 1|SELECT Name FROM mountain ORDER BY Height DESC LIMIT 1
List the distinct ranges of the mountains with the top 3 prominence.|CREATE TABLE mountain (Range VARCHAR, Prominence VARCHAR)|SELECT DISTINCT Range FROM mountain ORDER BY Prominence DESC LIMIT 3|SELECT DISTINCT Range FROM mountain ORDER BY Prominence DESC LIMIT 3
Show names of climbers and the names of mountains they climb.|CREATE TABLE mountain (Name VARCHAR, Mountain_ID VARCHAR); CREATE TABLE climber (Name VARCHAR, Mountain_ID VARCHAR)|SELECT T1.Name, T2.Name FROM climber AS T1 JOIN mountain AS T2 ON T1.Mountain_ID = T2.Mountain_ID|SELECT T2.Name, T1.Name FROM mountain AS T1 JOIN climber AS T2 ON T1.Mountain_ID = T2.Mountain_ID
Show the names of climbers and the heights of mountains they climb.|CREATE TABLE mountain (Height VARCHAR, Mountain_ID VARCHAR); CREATE TABLE climber (Name VARCHAR, Mountain_ID VARCHAR)|SELECT T1.Name, T2.Height FROM climber AS T1 JOIN mountain AS T2 ON T1.Mountain_ID = T2.Mountain_ID|SELECT T2.Name, T1.Height FROM mountain AS T1 JOIN climber AS T2 ON T1.Mountain_ID = T2.Mountain_ID
Show the height of the mountain climbed by the climber with the maximum points.|CREATE TABLE climber (Mountain_ID VARCHAR, Points VARCHAR); CREATE TABLE mountain (Height VARCHAR, Mountain_ID VARCHAR)|SELECT T2.Height FROM climber AS T1 JOIN mountain AS T2 ON T1.Mountain_ID = T2.Mountain_ID ORDER BY T1.Points DESC LIMIT 1|SELECT T2.Height FROM climber AS T1 JOIN mountain AS T2 ON T1.Mountain_ID = T2.Mountain_ID ORDER BY T1.Points DESC LIMIT 1
"Show the distinct names of mountains climbed by climbers from country ""West Germany""."|CREATE TABLE mountain (Name VARCHAR, Mountain_ID VARCHAR); CREATE TABLE climber (Mountain_ID VARCHAR, Country VARCHAR)|"SELECT DISTINCT T2.Name FROM climber AS T1 JOIN mountain AS T2 ON T1.Mountain_ID = T2.Mountain_ID WHERE T1.Country = ""West Germany"""|SELECT DISTINCT T1.Name FROM mountain AS T1 JOIN climber AS T2 ON T1.Mountain_ID = T2.Mountain_ID WHERE T2.Country = 'West Germany'
Show the times used by climbers to climb mountains in Country Uganda.|CREATE TABLE mountain (Mountain_ID VARCHAR, Country VARCHAR); CREATE TABLE climber (Time VARCHAR, Mountain_ID VARCHAR)|"SELECT T1.Time FROM climber AS T1 JOIN mountain AS T2 ON T1.Mountain_ID = T2.Mountain_ID WHERE T2.Country = ""Uganda"""|SELECT T2.Time FROM mountain AS T1 JOIN climber AS T2 ON T1.Mountain_ID = T2.Mountain_ID WHERE T1.Country = 'Uganda'
Please show the countries and the number of climbers from each country.|CREATE TABLE climber (Country VARCHAR)|SELECT Country, COUNT(*) FROM climber GROUP BY Country|SELECT Country, COUNT(*) FROM climber GROUP BY Country
List the countries that have more than one mountain.|CREATE TABLE mountain (Country VARCHAR)|SELECT Country FROM mountain GROUP BY Country HAVING COUNT(*) > 1|SELECT Country FROM mountain GROUP BY Country HAVING COUNT(*) > 1
List the names of mountains that do not have any climber.|CREATE TABLE mountain (Name VARCHAR, Mountain_ID VARCHAR); CREATE TABLE climber (Name VARCHAR, Mountain_ID VARCHAR)|SELECT Name FROM mountain WHERE NOT Mountain_ID IN (SELECT Mountain_ID FROM climber)|SELECT Name FROM mountain EXCEPT SELECT T1.Name FROM mountain AS T1 JOIN climber AS T2 ON T1.Mountain_ID = T2.Mountain_ID
Show the countries that have mountains with height more than 5600 stories and mountains with height less than 5200.|CREATE TABLE mountain (Country VARCHAR, Height INTEGER)|SELECT Country FROM mountain WHERE Height > 5600 INTERSECT SELECT Country FROM mountain WHERE Height < 5200|SELECT Country FROM mountain WHERE Height > 5600 INTERSECT SELECT Country FROM mountain WHERE Height < 5200
Show the range that has the most number of mountains.|CREATE TABLE mountain (Range VARCHAR)|SELECT Range FROM mountain GROUP BY Range ORDER BY COUNT(*) DESC LIMIT 1|SELECT Range FROM mountain GROUP BY Range ORDER BY COUNT(*) DESC LIMIT 1
Show the names of mountains with height more than 5000 or prominence more than 1000.|CREATE TABLE mountain (Name VARCHAR, Height VARCHAR, Prominence VARCHAR)|SELECT Name FROM mountain WHERE Height > 5000 OR Prominence > 1000|SELECT Name FROM mountain WHERE CAST(Height AS UNSIGNED) > 5000 OR CAST(Prominence AS UNSIGNED) > 1000
How many body builders are there?|CREATE TABLE body_builder (Id VARCHAR)|SELECT COUNT(*) FROM body_builder|SELECT COUNT(Id) FROM body_builder
List the total scores of body builders in ascending order.|CREATE TABLE body_builder (Total VARCHAR)|SELECT Total FROM body_builder ORDER BY Total|SELECT Total FROM body_builder ORDER BY Total ASC
List the snatch score and clean jerk score of body builders in ascending order of snatch score.|CREATE TABLE body_builder (Snatch VARCHAR, Clean_Jerk VARCHAR)|SELECT Snatch, Clean_Jerk FROM body_builder ORDER BY Snatch|SELECT Snatch, Clean_Jerk FROM body_builder ORDER BY Snatch ASC
What is the average snatch score of body builders?|CREATE TABLE body_builder (Snatch INTEGER)|SELECT AVG(Snatch) FROM body_builder|SELECT AVG(Snatch) FROM body_builder
What are the clean and jerk score of the body builder with the highest total score?|CREATE TABLE body_builder (Clean_Jerk VARCHAR, Total VARCHAR)|SELECT Clean_Jerk FROM body_builder ORDER BY Total DESC LIMIT 1|SELECT Clean_Jerk, Total FROM body_builder ORDER BY CAST(Total AS UNSIGNED) DESC LIMIT 1
